17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[9]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[10]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[10]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[13]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[13]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[14]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[14]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
